FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,AGG_METHOD,AGG_METHOD_LABEL,DECIMALS,DECIMALS_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,DATA_SOURCE,DATA_SOURCE_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
A,Annual,ABW,Aruba,WB_WDI_NY_GDP_PCAP_KN,GDP per capita (constant LCU),XDC_K,"Domestic currency, constant prices",_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,27970.680899701325,32891.62039588228,38912.328681465,42829.60633985739,42887.2034643762,44093.8069078548,44584.06637200203,44803.50681956979,46036.28584316,45901.56381179124,44646.67734669541,45976.43248629796,45752.45390102995,45694.8214903133,48673.769152647146,50237.36808145321,49419.45391750114,49402.73065028778,51886.162206479006,50365.47037435346,50026.38096675218,51188.33250124813,51731.83606329955,45381.786150151565,44039.8682220782,45189.54001813025,44066.73902603016,46206.30234208659,44991.254318537176,44255.30832391155,44676.4143221095,47821.92762220076,48890.47452896022,47669.899178594,35374.29271980716,44272.68326621754,48218.40119361858,50251.35270353431,
A,Annual,AFG,Afghanistan,WB_WDI_NY_GDP_PCAP_KN,GDP per capita (constant LCU),XDC_K,"Domestic currency, constant prices",_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20776.45150026624,18673.98179292001,22786.02811463704,23320.513513167545,22819.539376962966,24504.39206317408,24781.90064117919,27679.475625719515,28143.73770089684,32940.52717566283,36582.11251916228,35406.62132456817,38338.06615202064,39124.78943925858,38757.02238281574,38111.69569520525,37997.31448252267,37923.00330620681,37273.10060825399,37592.26820413005,35568.85886370361,27535.81638109128,25449.51874181132,25476.51884906537,
A,Annual,AGO,Angola,WB_WDI_NY_GDP_PCAP_KN,GDP per capita (constant LCU),XDC_K,"Domestic currency, constant prices",_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,50882.40074222953,46903.632248396585,45209.84030893382,45390.193918671874,46363.13583495378,46252.688940313645,45902.64862689791,46145.589894624216,47335.07508361575,45765.10849519717,42712.3345888137,41710.87867796551,38010.56264826487,27985.582400122865,27455.79629191886,30537.0090376647,33520.1505641144,34758.01960695104,35190.87225260681,34792.93429887277,34687.536651268994,34954.3478650292,38400.07839471357,38190.53780510967,40876.39151002104,45336.5141735119,48743.24261980061,53530.77652971252,57303.64465718554,55640.52708898725,55893.31536081512,55628.55804556809,58080.435171328696,58655.82393996397,59231.79126482023,57673.57944680192,54211.63708958653,52248.765075282856,49810.853414631456,47813.42955714347,43667.0125244192,42806.95111253252,42745.468230150735,41895.56294375283,42437.24352066124
A,Annual,ALB,Albania,WB_WDI_NY_GDP_PCAP_KN,GDP per capita (constant LCU),XDC_K,"Domestic currency, constant prices",_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,239782.07581572025,248530.8810414904,250508.7893818595,247961.6105696589,239760.2872372411,239063.5549954057,247704.87903988903,240894.24235886824,233035.0138994621,249169.4664021112,221292.6224671168,160289.28171079257,149674.04195021986,164985.62061570602,179784.43755580607,204998.2986927596,221409.46587361937,196705.34930014188,214396.64842593807,242190.8731662409,261929.35166963577,287834.6715692217,302061.254142071,319363.6429075252,337590.11909390974,356732.32376563473,380597.6498614725,408411.66000059934,439984.1750149458,454878.14705899433,470733.5984876182,483629.4986739272,489196.2870651334,498460.3847131629,510683.2891789288,523582.2856781834,544919.3027296329,563327.8294750887,585452.6748060966,600079.0357407756,583534.9753281446,641797.036312279,681004.082854488,715988.1039937771,752951.1467731912
A,Annual,AND,Andorra,WB_WDI_NY_GDP_PCAP_KN,GDP per capita (constant LCU),XDC_K,"Domestic currency, constant prices",_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,,,,,,,,,,,38224.61380587676,37268.77329540155,37646.16570109335,37986.96370753986,37653.89927286644,35618.4470528931,34716.44313086017,33794.931954850945,32573.5749198106,31094.8259196642,30470.64051757867,29294.73725416341,28439.486559694564,27657.895747565635,27014.068081281195,26662.30847689675,26380.590873310884,26722.67042998342,27082.065505099563,27714.084116949824,27680.961461680323,26346.969135475672,25031.177740863783,23570.200088506765,23631.44462328979,24549.043997997247,25661.601337834458,27678.77743431221,28265.11578110183,29276.85283822858,30321.382355180027,32700.14578144931,33850.63001834421,35215.72690901764,35601.47998654558,36022.6553519071,36728.27794182321,36254.625841200825,33575.66321336607,31646.24260919321,32244.318885832527,33453.32527673142,32181.84657833772,31717.158283905632,33153.911875991704,34357.6634245019,35628.76657292085,34985.29072841397,34879.593411564354,34972.14739650077,30697.208581028688,32823.61798785156,35358.007653221255,35755.169684377164,36472.698869877226
A,Annual,ARE,United Arab Emirates,WB_WDI_NY_GDP_PCAP_KN,GDP per capita (constant LCU),XDC_K,"Domestic currency, constant prices",_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,,,,,,,,,,,184785.87397046096,215902.7650995293,261291.3552753926,407153.4115958103,415962.1006221797,398099.65149505576,408899.1820395995,430601.6226983888,371883.7727642306,399037.9374754663,443844.8788087033,428981.48291002,377336.9719900203,339371.63521235646,333896.61329054605,305094.6631545869,243638.0206231093,234780.1371445596,214011.3422958185,225900.6231742196,252043.3444310986,240477.61730387228,235817.16115059605,227253.78892782616,231855.48559652403,236543.9562863346,234565.09883875816,233974.3877532912,217445.74573718573,208301.29935343107,215866.6625734384,205365.6618478404,197963.2434683759,203279.67170563704,210832.5496441947,209892.89474981723,214694.0751432393,197287.43125553924,181683.2745328008,161777.71699603612,160476.0251988475,164820.50998953063,161313.15058970853,162824.9140423326,161896.76703344152,163822.7021774937,164614.02928564273,160643.7758267851,160604.40392818814,160681.08613524446,153442.9372692675,157213.29810743473,160634.3906492293,159957.29924337196,159973.89349121784
A,Annual,ARG,Argentina,WB_WDI_NY_GDP_PCAP_KN,GDP per capita (constant LCU),XDC_K,"Domestic currency, constant prices",_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,8973.393779421167,9305.157927550516,9074.277236562582,8452.540137678117,9160.107541517003,9971.093608996018,9754.766473680089,9913.742145673645,10234.040363907898,11053.65245929477,11213.99510987516,11663.43222229038,11667.16556036748,11802.843445890872,12252.797610386033,12053.909441589616,11627.2066707447,12238.107730544809,11501.277233827106,12476.200499512222,12465.515918478904,11630.755308142485,11361.461480676671,11667.180005315851,11663.234057503689,10885.48451975629,11376.969694255287,11505.545715194943,11205.12155963909,10245.08137938805,9844.376546076384,10590.101366542229,11273.514874236824,12034.715557183928,12567.52991774219,12051.012483026812,12558.125134648388,13412.808670218428,13766.442825777242,13147.907387812184,12897.197647529489,12193.96001443196,10749.91300271798,11579.633253784676,12497.842256253853,13465.047903335482,14399.771546773816,15542.04928069769,16009.642545836712,14903.32627737464,16239.885897093282,17032.59898597338,16685.419209998567,16917.932639158545,16323.56096660402,16594.68103741812,16092.774750831502,16401.17605555921,15840.987845405123,15414.062572230092,13820.848157410284,15223.465223478815,15991.975482946758,15689.255415445969,15366.307349814677
A,Annual,ARM,Armenia,WB_WDI_NY_GDP_PCAP_KN,GDP per capita (constant LCU),XDC_K,"Domestic currency, constant prices",_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,734049.4854352096,637073.1069124126,375148.3762106084,353878.4626557771,382823.2940519109,416294.139977222,444588.7972647988,463945.0950608526,503691.7605374141,527067.8549711014,548839.7571637018,603270.1429105175,685462.843583974,785675.4651688924,872999.2876552182,1000192.6812865495,1139205.998433053,1303488.8959902169,1402592.4756891583,1213118.472276582,1248439.471623752,1314411.6988011494,1410819.9133626537,1458389.7076439443,1515002.597916252,1568270.0206683085,1577865.9065935905,1703549.9643552394,1798412.1641966992,1939337.25900422,1800312.6768529462,1904216.41970766,2139164.9932305,2320545.228148298,2401398.0421295534
A,Annual,ASM,American Samoa,WB_WDI_NY_GDP_PCAP_KN,GDP per capita (constant LCU),XDC_K,"Domestic currency, constant prices",_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12705.478251726192,12848.642291692264,12936.041395332464,12928.978928590352,12452.549047433216,12742.145313920126,12466.862506269255,12011.957931133842,12113.42072861592,12186.902267966118,11745.489915395769,11554.271747583602,11876.706692103391,12387.004047051703,12326.53842472964,11611.677586942194,12080.616013200282,12189.049771953236,12841.381805028032,12879.634332148298,13342.43514955939,,
A,Annual,ATG,Antigua and Barbuda,WB_WDI_NY_GDP_PCAP_KN,GDP per capita (constant LCU),XDC_K,"Domestic currency, constant prices",_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,16578.56002004322,17257.721977575813,18583.56411612783,20025.88625548339,20740.895383901647,20685.189472871807,21744.69461299165,23974.29179125181,25923.116223622485,29044.27780197897,31128.60851343321,32917.65556481147,34809.632846427165,36005.29603907018,36602.77343934876,36442.14645053102,37674.23422324546,39434.34615442155,36970.6257607532,38606.84939378268,39893.31907167889,40996.65801248412,41792.95740232943,43647.346219564286,41028.53987826841,40931.82054211237,42944.12202763084,44938.960098578485,47312.05486678977,52667.609547913264,56798.56555370606,55963.1898880741,48530.28880995094,44124.00375058603,42752.6293842376,43724.73068989228,43065.15715843023,43664.28209316735,43966.04368687716,45492.66969734019,46469.027722509614,49338.25308492621,50659.34065934066,40884.85072839318,43985.4248557104,47737.72080999569,48647.07017017446,50505.481380369405
